"population_urban","population_rural","time_period","nation"
11242756.0802522,6114889.99374778,11,"Ecuador"
11365291.1780711,6146393.08992889,12,"Ecuador"
11487826.27589,6177896.18611,13,"Ecuador"
11610361.3737089,6209399.28229111,14,"Ecuador"
11732896.4715278,6240902.37847222,15,"Ecuador"
11845349.8901306,6264206.57986944,16,"Ecuador"
11957803.3087333,6287510.78126666,17,"Ecuador"
12070256.7273361,6310814.98266389,18,"Ecuador"
12182710.1459389,6334119.18406111,19,"Ecuador"
12295163.5645417,6357423.38545833,20,"Ecuador"
12397141.25916,6372857.12684,21,"Ecuador"
12499118.9537783,6388290.86822166,22,"Ecuador"
12601096.6483967,6403724.60960333,23,"Ecuador"
12703074.343015,6419158.350985,24,"Ecuador"
12805052.0376333,6434592.09236666,25,"Ecuador"
12893762.4043756,6441315.77162444,26,"Ecuador"
12982472.7711178,6448039.45088222,27,"Ecuador"
13071183.13786,6454763.13014,28,"Ecuador"
13159893.5046022,6461486.80939777,29,"Ecuador"
13248603.8713444,6468210.48865555,30,"Ecuador"
13324305.4401622,6466967.68383777,31,"Ecuador"
13400007.00898,6465724.87902,32,"Ecuador"
13475708.5777978,6464482.07420222,33,"Ecuador"
13551410.1466156,6463239.26938444,34,"Ecuador"
13627111.7154333,6461996.46456666,35,"Ecuador"
7989207.64757,7998800.45243,0,"Guatemala"
8211910.687016,8079543.040984,1,"Guatemala"
8434613.726462,8160285.629538,2,"Guatemala"
8657316.765908,8241028.218092,3,"Guatemala"
8880019.805354,8321770.806646,4,"Guatemala"
9102722.8448,8402513.3952,5,"Guatemala"
9325668.64172,8474477.68628,6,"Guatemala"
9548614.43864,8546441.97736,7,"Guatemala"
9771560.23556,8618406.26844,8,"Guatemala"
9994506.03248,8690370.55952,9,"Guatemala"
10217451.8294,8762334.8506,10,"Guatemala"
10445315.8372067,8818790.82479333,11,"Guatemala"
10673179.8450133,8875246.79898667,12,"Guatemala"
10901043.85282,8931702.77318,13,"Guatemala"
11128907.8606267,8988158.74737333,14,"Guatemala"
11356771.8684333,9044614.72156666,15,"Guatemala"
11583649.4715467,9082211.06445333,16,"Guatemala"
11810527.07466,9119807.40734,17,"Guatemala"
12037404.6777733,9157403.75022667,18,"Guatemala"
12264282.2808867,9195000.09311333,19,"Guatemala"
12491159.884,9232596.436,20,"Guatemala"
12711695.3776933,9249502.04430667,21,"Guatemala"
12932230.8713867,9266407.65261333,22,"Guatemala"
13152766.36508,9283313.26092,23,"Guatemala"
13373301.8587733,9300218.86922667,24,"Guatemala"
13593837.3524667,9317124.47753333,25,"Guatemala"
13810905.68862,9317595.33938,26,"Guatemala"
14027974.0247733,9318066.20122666,27,"Guatemala"
14245042.3609267,9318537.06307333,28,"Guatemala"
14462110.69708,9319007.92492,29,"Guatemala"
14679179.0332333,9319478.78676666,30,"Guatemala"
14888994.7750667,9303029.17693333,31,"Guatemala"
15098810.5169,9286579.5671,32,"Guatemala"
15308626.2587333,9270129.95726666,33,"Guatemala"
15518442.0005667,9253680.34743333,34,"Guatemala"
15728257.7424,9237230.7376,35,"Guatemala"
201746.7969268,561289.5000732,0,"Guyana"
203208.93192344,562077.49227656,1,"Guyana"
204671.06692008,562865.48447992,2,"Guyana"
206133.20191672,563653.47668328,3,"Guyana"
207595.33691336,564441.46888664,4,"Guyana"
209057.47191,565229.46109,5,"Guyana"
209973.33262,565775.80558,6,"Guyana"
210889.19333,566322.15007,7,"Guyana"
211805.05404,566868.49456,8,"Guyana"
212720.91475,567414.83905,9,"Guyana"
213636.77546,567961.18354,10,"Guyana"
214192.441418667,567530.580181333,11,"Guyana"
214748.107377333,567099.976822667,12,"Guyana"
215303.773336,566669.373464,13,"Guyana"
215859.439294667,566238.770105333,14,"Guyana"
216415.105253333,565808.166746667,15,"Guyana"
216638.325946667,564519.726453333,16,"Guyana"
216861.54664,563231.28616,17,"Guyana"
217084.767333333,561942.845866667,18,"Guyana"
217307.988026667,560654.405573333,19,"Guyana"
217531.20872,559365.96528,20,"Guyana"
217423.374192667,557265.214007333,21,"Guyana"
217315.539665333,555164.462734667,22,"Guyana"
217207.705138,553063.711462,23,"Guyana"
217099.870610667,550962.960189333,24,"Guyana"
216992.036083333,548862.208916667,25,"Guyana"
216611.255312,546133.628288,26,"Guyana"
216230.474540667,543405.047659333,27,"Guyana"
215849.693769333,540676.467030667,28,"Guyana"
215468.912998,537947.886402,29,"Guyana"
215088.132226667,535219.305773333,30,"Guyana"
214538.703123333,532149.307076667,31,"Guyana"
213989.27402,529079.30838,32,"Guyana"
213439.844916667,526009.309683333,33,"Guyana"
212890.415813333,522939.310986667,34,"Guyana"
212340.98671,519869.31229,35,"Guyana"
4567483.2783608,3712943.2596392,0,"Honduras"
4689145.67630864,3719952.54309136,1,"Honduras"
4810808.07425648,3726961.82654352,2,"Honduras"
4932470.47220432,3733971.10999568,3,"Honduras"
5054132.87015216,3740980.39344784,4,"Honduras"
5175795.2681,3747989.6769,5,"Honduras"
5303003.891194,3740504.146806,6,"Honduras"
5430212.514288,3733018.616712,7,"Honduras"
5557421.137382,3725533.086618,8,"Honduras"
5684629.760476,3718047.556524,9,"Honduras"
5811838.38357,3710562.02643,10,"Honduras"
5938671.32563067,3691528.84436933,11,"Honduras"
6065504.26769133,3672495.66230867,12,"Honduras"
6192337.209752,3653462.480248,13,"Honduras"
6319170.15181267,3634429.29818733,14,"Honduras"
6446003.09387333,3615396.11612667,15,"Honduras"
6572692.35899067,3586546.06100933,16,"Honduras"
6699381.624108,3557696.005892,17,"Honduras"
6826070.88922533,3528845.95077467,18,"Honduras"
6952760.15434267,3499995.89565733,19,"Honduras"
7079449.41946,3471145.84054,20,"Honduras"
7204724.59857067,3433230.31142933,21,"Honduras"
7329999.77768133,3395314.78231867,22,"Honduras"
7455274.956792,3357399.253208,23,"Honduras"
7580550.13590267,3319483.72409733,24,"Honduras"
7705825.31501333,3281568.19498667,25,"Honduras"
7826420.720514,3234692.905486,26,"Honduras"
7947016.12601467,3187817.61598533,27,"Honduras"
8067611.53151533,3140942.32648467,28,"Honduras"
8188206.937016,3094067.036984,29,"Honduras"
8308802.34251667,3047191.74748333,30,"Honduras"
8423813.57928933,2992703.09071067,31,"Honduras"
8538824.816062,2938214.433938,32,"Honduras"
8653836.05283466,2883725.77716533,33,"Honduras"
8768847.28960733,2829237.12039267,34,"Honduras"
8883858.52638,2774748.46362,35,"Honduras"
5535431.879754,5022324.900246,0,"Haiti"
5689971.8951832,4969613.1628168,1,"Haiti"
5844511.9106124,4916901.4253876,2,"Haiti"
5999051.9260416,4864189.6879584,3,"Haiti"
6153591.9414708,4811477.9505292,4,"Haiti"
6308131.9569,4758766.2131,5,"Haiti"
6468304.21776167,4688551.16823833,6,"Haiti"
6628476.47862333,4618336.12337667,7,"Haiti"
6788648.739485,4548121.078515,8,"Haiti"
6948821.00034667,4477906.03365333,9,"Haiti"
7108993.26120833,4407690.98879167,10,"Haiti"
7268935.52832178,4324560.38767822,11,"Haiti"
7428877.79543522,4241429.78656478,12,"Haiti"
7588820.06254867,4158299.18545133,13,"Haiti"
7748762.32966211,4075168.58433789,14,"Haiti"
7908704.59677555,3992037.98322445,15,"Haiti"
8065463.50009211,3897415.49390789,16,"Haiti"
8222222.40340867,3802793.00459133,17,"Haiti"
8378981.30672522,3708170.51527478,18,"Haiti"
8535740.21004178,3613548.02595822,19,"Haiti"
8692499.11335833,3518925.53664167,20,"Haiti"
8846013.84073466,3415533.80526534,21,"Haiti"
8999528.568111,3312142.073889,22,"Haiti"
9153043.29548733,3208750.34251267,23,"Haiti"
9306558.02286367,3105358.61113633,24,"Haiti"
9460072.75024,3001966.87976,25,"Haiti"
9607244.54737589,2891174.91062411,26,"Haiti"
9754416.34451178,2780382.94148822,27,"Haiti"
9901588.14164766,2669590.97235234,28,"Haiti"
10048759.9387836,2558799.00321645,29,"Haiti"
10195931.7359194,2448007.03408056,30,"Haiti"
10333132.5596936,2331476.29030645,31,"Haiti"
10470333.3834677,2214945.54653234,32,"Haiti"
10607534.2072418,2098414.80275822,33,"Haiti"
10744735.0310159,1981884.05898411,34,"Haiti"
10881935.85479,1865353.31521,35,"Haiti"
1529976.040367,1260423.449633,0,"Jamaica"
1541645.3703096,1257932.3252904,1,"Jamaica"
1553314.7002522,1255441.2009478,2,"Jamaica"
1564984.0301948,1252950.0766052,3,"Jamaica"
1576653.3601374,1250458.9522626,4,"Jamaica"
1588322.69008,1247967.82792,5,"Jamaica"
1598461.6554092,1244155.1917908,6,"Jamaica"
1608600.6207384,1240342.5556616,7,"Jamaica"
1618739.5860676,1236529.9195324,8,"Jamaica"
1628878.5513968,1232717.2834032,9,"Jamaica"
1639017.516726,1228904.647274,10,"Jamaica"
1646989.6969912,1223292.6030088,11,"Jamaica"
1654961.8772564,1217680.5587436,12,"Jamaica"
1662934.0575216,1212068.5144784,13,"Jamaica"
1670906.2377868,1206456.4702132,14,"Jamaica"
1678878.418052,1200844.425948,15,"Jamaica"
1685077.5947367,1193931.7322633,16,"Jamaica"
1691276.7714214,1187019.0385786,17,"Jamaica"
1697475.9481061,1180106.3448939,18,"Jamaica"
1703675.1247908,1173193.6512092,19,"Jamaica"
1709874.3014755,1166280.9575245,20,"Jamaica"
1714414.1541224,1158316.5100776,21,"Jamaica"
1718954.0067693,1150352.0626307,22,"Jamaica"
1723493.8594162,1142387.6151838,23,"Jamaica"
1728033.7120631,1134423.1677369,24,"Jamaica"
1732573.56471,1126458.72029,25,"Jamaica"
1735554.5172675,1117656.1941325,26,"Jamaica"
1738535.469825,1108853.667975,27,"Jamaica"
1741516.4223825,1100051.1418175,28,"Jamaica"
1744497.37494,1091248.61566,29,"Jamaica"
1747478.3274975,1082446.0895025,30,"Jamaica"
