"","region","time_period","strategy_id","difference_variable","difference_value","variable","value","future_id"
"188","brazil",13,3023,"change_in_emissions:3027",-0.806102352820917,"cost",44051921.0990393,5
"189","brazil",13,3023,"change_in_emissions:3029",-0.860452324680862,"cost",598225.066900616,9
"190","brazil",13,3023,"change_in_emissions:3027",-0.798262710000323,"cost",68674518.542394,8
"191","brazil",13,3023,"change_in_emissions:3029",-0.648937464941608,"cost",632253.874655004,5
"192","brazil",13,3023,"change_in_emissions:3029",-0.691732566749401,"cost",530870.507217033,2
"193","brazil",13,3023,"change_in_emissions:3025",-12.9197640488729,"cost",1120983284.97402,7
"194","brazil",13,3023,"change_in_emissions:3027",-0.803608430238842,"cost",38254085.610909,2
"195","brazil",13,3023,"change_in_emissions:3027",-0.78430606382913,"cost",43539207.1595184,1
"196","brazil",13,3023,"change_in_emissions:3025",-12.6741942486051,"cost",818874360.399635,1
"197","brazil",13,3023,"change_in_emissions:3025",-12.6937433001588,"cost",941108430.020084,6
"198","brazil",13,3023,"change_in_emissions:3029",-1.00219766701091,"cost",868750.141901447,6
"199","brazil",14,3023,"change_in_emissions:3029",-1.16356059572976,"cost",717207.145933887,9
"200","brazil",14,3023,"change_in_emissions:3025",-17.6628779058364,"cost",832145083.158553,11
"201","brazil",14,3023,"change_in_emissions:3025",-17.3014846228288,"cost",1085230670.45158,9
"202","brazil",14,3023,"change_in_emissions:3025",-17.3994969077947,"cost",919971634.247664,8
"203","brazil",14,3023,"change_in_emissions:3025",-17.5707652732267,"cost",1209729069.49226,5
"204","brazil",14,3023,"change_in_emissions:3029",-1.03070085549324,"cost",1093748.31444195,7
"205","brazil",14,3023,"change_in_emissions:3025",-17.6497508828341,"cost",1039502260.89454,10
"206","brazil",14,3023,"change_in_emissions:3029",-1.05946509906226,"cost",1658611.35299211,8
"207","brazil",14,3023,"change_in_emissions:3025",-17.2408664567171,"cost",2143205076.06293,3
"208","brazil",14,3023,"change_in_emissions:3025",-17.5162810934798,"cost",1663772909.97956,2
"209","brazil",14,3023,"change_in_emissions:3027",-1.0871621465801,"cost",51743022.6025986,2
"210","brazil",14,3023,"change_in_emissions:3027",-1.06263109048375,"cost",78468304.6149996,6
"211","brazil",14,3023,"change_in_emissions:3027",-1.06694362009746,"cost",46690165.0252171,4
