time_period,lndu_reallocation_factor,TransformationName,Nation
0,1,full,el_salvador
1,1,full,el_salvador
2,1,full,el_salvador
3,1,full,el_salvador
4,1,full,el_salvador
5,1,full,el_salvador
6,1,full,el_salvador
7,1,full,el_salvador
8,1,full,el_salvador
9,1,full,el_salvador
10,1,full,el_salvador
11,1,full,el_salvador
12,1,full,el_salvador
13,1,full,el_salvador
14,1,full,el_salvador
15,1,full,el_salvador
16,1,full,el_salvador
17,1,full,el_salvador
18,1,full,el_salvador
19,1,full,el_salvador
20,1,full,el_salvador
21,1,full,el_salvador
22,1,full,el_salvador
23,1,full,el_salvador
24,1,full,el_salvador
25,1,full,el_salvador
26,1,full,el_salvador
27,1,full,el_salvador
28,1,full,el_salvador
29,1,full,el_salvador
30,1,full,el_salvador
31,1,full,el_salvador
32,1,full,el_salvador
33,1,full,el_salvador
34,1,full,el_salvador
35,1,full,el_salvador
0,1,none,guatemala
1,1,none,guatemala
2,1,none,guatemala
3,1,none,guatemala
4,1,none,guatemala
5,1,none,guatemala
6,1,none,guatemala
7,1,none,guatemala
8,1,none,guatemala
9,1,none,guatemala
10,1,none,guatemala
11,1,none,guatemala
12,1,none,guatemala
13,1,none,guatemala
14,1,none,guatemala
15,1,none,guatemala
16,1,none,guatemala
17,1,none,guatemala
18,1,none,guatemala
19,1,none,guatemala
20,1,none,guatemala
21,1,none,guatemala
22,1,none,guatemala
23,1,none,guatemala
24,1,none,guatemala
25,1,none,guatemala
26,1,none,guatemala
27,1,none,guatemala
28,1,none,guatemala
29,1,none,guatemala
30,1,none,guatemala
31,1,none,guatemala
32,1,none,guatemala
33,1,none,guatemala
34,1,none,guatemala
35,1,none,guatemala
0,1,full,guatemala
1,1,full,guatemala
2,1,full,guatemala
3,1,full,guatemala
4,1,full,guatemala
5,1,full,guatemala
6,1,full,guatemala
7,1,full,guatemala
8,1,full,guatemala
9,1,full,guatemala
10,1,full,guatemala
11,1,full,guatemala
12,1,full,guatemala
13,1,full,guatemala
14,1,full,guatemala
15,1,full,guatemala
16,1,full,guatemala
17,1,full,guatemala
18,1,full,guatemala
19,1,full,guatemala
20,1,full,guatemala
21,1,full,guatemala
22,1,full,guatemala
23,1,full,guatemala
24,1,full,guatemala
25,1,full,guatemala
26,1,full,guatemala
27,1,full,guatemala
28,1,full,guatemala
29,1,full,guatemala
30,1,full,guatemala
31,1,full,guatemala
32,1,full,guatemala
33,1,full,guatemala
34,1,full,guatemala
35,1,full,guatemala
0,1,none,guyana
1,1,none,guyana
2,1,none,guyana
3,1,none,guyana
4,1,none,guyana
5,1,none,guyana
6,1,none,guyana
7,1,none,guyana
8,1,none,guyana
9,1,none,guyana
10,1,none,guyana
11,1,none,guyana
12,1,none,guyana
13,1,none,guyana
14,1,none,guyana
15,1,none,guyana
16,1,none,guyana
17,1,none,guyana
18,1,none,guyana
19,1,none,guyana
20,1,none,guyana
21,1,none,guyana
22,1,none,guyana
23,1,none,guyana
24,1,none,guyana
25,1,none,guyana
26,1,none,guyana
27,1,none,guyana
28,1,none,guyana
29,1,none,guyana
30,1,none,guyana
31,1,none,guyana
32,1,none,guyana
33,1,none,guyana
34,1,none,guyana
35,1,none,guyana
0,1,full,guyana
1,1,full,guyana
2,1,full,guyana
3,1,full,guyana
4,1,full,guyana
5,1,full,guyana
6,1,full,guyana
7,1,full,guyana
8,1,full,guyana
9,1,full,guyana
10,1,full,guyana
11,1,full,guyana
12,1,full,guyana
13,1,full,guyana
14,1,full,guyana
15,1,full,guyana
16,1,full,guyana
17,1,full,guyana
18,1,full,guyana
