"","strategy_code","region","time_period","primary_id","future_id","total_entc_costs","energylost_enfu_transmission_loss_fuel_electricity_pj","entc_total_annnual_production_before_losses","entc_total_annnual_production","entc_cost_per_pj","energy_demand_enfu_subsector_total_pj_ccsq_fuel_electricity","energy_demand_enfu_subsector_total_pj_entc_fuel_electricity","energy_demand_enfu_subsector_total_pj_inen_fuel_electricity","energy_demand_enfu_subsector_total_pj_scoe_fuel_electricity","energy_demand_enfu_subsector_total_pj_trns_fuel_electricity","entc_cost_energy_demand_enfu_subsector_total_pj_ccsq_fuel_electricity","entc_cost_energy_demand_enfu_subsector_total_pj_entc_fuel_electricity","entc_cost_energy_demand_enfu_subsector_total_pj_inen_fuel_electricity","entc_cost_energy_demand_enfu_subsector_total_pj_scoe_fuel_electricity","entc_cost_energy_demand_enfu_subsector_total_pj_trns_fuel_electricity","total_gas_recovery_value","entc_cost_energy_demand_enfu_subsector_total_pj_residual_fuel_electricity","cost_to_reallocate","total_end_use_consumption","reallocated_cost_energy_demand_enfu_subsector_total_pj_ccsq_fuel_electricity_reallocated","reallocated_cost_energy_demand_enfu_subsector_total_pj_inen_fuel_electricity_reallocated","reallocated_cost_energy_demand_enfu_subsector_total_pj_scoe_fuel_electricity_reallocated","reallocated_cost_energy_demand_enfu_subsector_total_pj_trns_fuel_electricity_reallocated"
"1885","PFLO:CHANGE_CONSUMPTION","peru",2,121121,0,0.00400805837446683,111.741506510928,1218.6242370661,1106.88273055517,3.62103253020899e-06,0,73.3612986123847,76.2729620346755,861.354418440524,1.12550977613351,0,0.000265643648733821,0.000276186876702955,0.00311899236921238,4.07550751244768e-06,0,0.000343159972305222,0.000608803621039043,938.752890251333,0,4.94648335640828e-05,0.000558608867562765,7.29919912194859e-07
"1886","PFLO:CHANGE_CONSUMPTION","peru",20,121121,0,-391212283.05962,183.572766547629,2001.99755279244,1818.42478624481,-215138.006267229,0,162.057880807758,147.005295032577,1341.00612299175,16.3382541802297,0,-34864809.3768732,-31626426.0840343,-288501383.692591,-3514979.43022183,9418859.36808416,-32704684.4758995,-76988353.2208568,1504.34967220456,0,-7523314.41846146,-68628893.2525404,-836145.549854998
"1887","PFLO:CHANGE_CONSUMPTION","peru",21,121121,0,-434719343.601736,188.922757280039,2060.34318082418,1871.42042354415,-232293.790391821,0,168.452440104718,151.80194392331,1376.48664953508,18.3890801900502,0,-39130455.8126761,-35262648.9427923,-319749301.244241,-4271669.1391659,9717577.65482667,-36305268.4628603,-85153301.930363,1546.67767364844,0,-8357550.49985666,-75783329.1758092,-1012422.25469722
"1888","PFLO:CHANGE_CONSUMPTION","peru",22,121121,0,-474859485.710754,194.337983008357,2119.40024500532,1925.06226199696,-246672.273975263,0,174.889646886812,156.591869641646,1412.44138838359,20.5206280021151,0,-43140426.8923007,-38626872.5705428,-348410129.129358,-5061869.97268219,9961050.1133311,-39620187.1458704,-92721664.1515021,1589.55388602735,0,-9134297.91427572,-82390359.4578304,-1197006.77939602
"1889","PFLO:CHANGE_CONSUMPTION","peru",23,121121,0,-515415363.422823,199.8181372415,2179.16540282262,1979.34726558112,-260396.632963495,0,181.371969169532,161.374280491514,1448.87280788474,22.7262216190523,0,-47228650.0857049,-42021319.2868968,-377281600.76555,-5917831.5895834,10156877.5727961,-42965961.6950879,-100351489.353589,1632.97330999531,0,-9916971.26435813,-89037918.2961464,-1396599.7930843
"1890","PFLO:CHANGE_CONSUMPTION","peru",24,121121,0,-556120725.189195,205.362909437984,2239.63526759024,2034.27235815226,-273375.746841649,0,187.901784353745,166.148115214268,1485.7842527414,24.998624113135,0,-51367790.6305835,-45420865.0830329,-406177379.738742,-6834017.53694194,10311415.86971,-46320672.1998955,-107999878.700189,1676.9309920688,0,-10700485.8126385,-95689399.1641002,-1609993.72345039
"1891","PFLO:CHANGE_CONSUMPTION","peru",25,121121,0,-596707215.308582,210.97199951574,2300.80656669003,2089.83456717428,-285528.445495762,0,194.481328034819,170.912066020895,1523.18009668826,27.3300389658191,0,-55529951.2717332,-48800256.5274151,-434911245.217483,-7803503.54124892,10429975.9929521,-49662258.7507015,-115622186.015387,1721.42220167497,0,-11479593.2517392,-102306925.228955,-1835667.53469254
"1892","PFLO:CHANGE_CONSUMPTION","peru",26,121121,0,-644220087.298755,216.797261436804,2364.33538052047,2147.53811908367,-299980.746126936,0,201.312823967232,175.813916765892,1562.05848742863,29.7571504248734,0,-60389971.1386108,-52740789.9309313,-468587470.552753,-8926572.18706499,10489931.4420229,-53575283.4893943,-124455186.070028,1767.6295546194,0,-12378698.7310873,-109981347.16471,-2095140.17423116
"1893","PFLO:CHANGE_CONSUMPTION","peru",27,121121,0,-685569113.842608,222.691039090601,2428.61140937545,2205.92037028485,-310785.975358703,0,208.202424213971,180.701969275308,1601.46611304955,32.2325148836802,0,-64706393.4813854,-56159637.7704649,-497713207.948015,-10017413.5763885,10523359.4143773,-56972461.066354,-132202213.962117,1814.40059720854,0,-13166442.0978828,-116687222.24639,-2348549.61784365
"1894","PFLO:CHANGE_CONSUMPTION","peru",28,121121,0,-726078830.410498,228.653271551144,2493.63398881177,2264.98071726062,-320567.334139892,0,215.152080566494,185.574601569554,1641.41162187584,34.7467849968607,0,-68970728.9018522,-59489155.3092245,-526182947.850974,-11138684.2363756,10533228.3807352,-60297314.1120719,-139801271.394659,1861.73300844225,0,-13935169.6082826,-123256895.902713,-2609205.88366346
"1895","PFLO:CHANGE_CONSUMPTION","peru",29,121121,0,-765181916.022539,234.68391135423,2559.40260119698,2324.71868984275,-329150.326603301,0,222.16359698433,190.430233746713,1681.90444095689,37.2900480148494,0,-73125220.5067564,-62680173.6328736,-553599396.056503,-12274031.4831405,10522030.7696287,-63503094.3432653,-147150345.61965,1909.62472271845,0,-14674021.7482988,-129602856.960142,-2873466.91120916
"1896","PFLO:CHANGE_CONSUMPTION","peru",3,121121,0,-0.000161270996557051,115.842360971425,1263.34710499838,1147.50474402696,-1.40540592443304e-07,0,87.3088885042619,81.537109897109,880.172970072703,1.13432790824895,0,-1.22704429159553e-05,-1.14592737310545e-05,-0.0001237000306666,-1.59419116250281e-07,0,-1.36818301271904e-05,-2.59522730431458e-05,962.844407878061,0,-2.19773134878792e-06,-2.3723967296922e-05,-3.05743974358372e-08
"1897","PFLO:CHANGE_CONSUMPTION","peru",30,121121,0,-802721148.231748,240.782953754362,2625.9171947779,2385.13424102354,-336551.769047295,0,229.238667737447,195.267379334327,1722.95495322802,39.8518258632498,0,-77150679.1610827,-65717581.9521969,-579863537.497689,-13412202.4940414,10491858.5217296,-66577147.1267378,-154219684.80955,1958.0741584256,0,-15379434.7190304,-135701484.381739,-3138765.70878048
"1898","PFLO:CHANGE_CONSUMPTION","peru",31,121121,0,-849604261.411849,247.121426290176,2695.04295206636,2447.92152577618,-347071.690193361,0,236.594706834908,200.223840911178,1765.71780327002,42.4810028782717,0,-82115324.7919942,-69492026.8820491,-612830662.385434,-14743953.4700708,10409456.571616,-70422293.8823013,-162947075.245911,2008.42264705947,0,-16244533.6487052,-143255978.602778,-3446562.99442861
"1899","PFLO:CHANGE_CONSUMPTION","peru",32,121121,0,-885603831.481183,253.534468312668,2764.98194506864,2511.44747675597,-352626.857490611,0,244.023148047198,205.158043461809,1809.10543967493,45.1128237139455,0,-86049115.8508496,-72344236.15486,-637939166.061741,-15907993.2587765,10314126.543135,-73363320.1549555,-169726562.54894,2059.37630685068,0,-16908405.4139133,-149100116.643654,-3718040.49137263
"1900","PFLO:CHANGE_CONSUMPTION","peru",33,121121,0,-919142922.897183,260.022529542198,2835.73907831975,2575.71654877756,-356849.406947908,0,251.525847446033,210.069101127323,1853.13325989924,47.7351372244003,0,-89756849.4931868,-74963034.1553653,-661289504.790487,-17034255.4091042,10206737.261911,-76099279.0490398,-176062865.804138,2110.93749825096,0,-17520825.6957017,-154560688.189563,-3981351.91887264
"1901","PFLO:CHANGE_CONSUMPTION","peru",34,121121,0,-949799236.997188,266.586078840595,2907.31946510666,2640.73338626606,-359672.522011085,0,259.104569339012,214.956227985216,1897.81741452945,50.3351947713637,0,-93192793.9187585,-77313848.6414324,-682592775.800364,-18104186.4493356,10088029.3827819,-78595632.1872977,-181876455.488838,2163.10883728603,0,-18073744.6758589,-159570474.94322,-4232235.8697596
"1902","PFLO:CHANGE_CONSUMPTION","peru",35,121121,0,-977130801.997207,273.225601424553,2979.7283970783,2706.50279565375,-361030.775052712,0,266.760997103758,219.818738412572,1943.17477535415,52.8996468759263,0,-96308929.5382041,-79361329.5002003,-701545895.208989,-19098400.5116305,9958634.7429804,-80816247.2381827,-187083811.519367,2215.89316064265,0,-18558894.5153276,-164058696.456337,-4466220.54770306
"1903","PFLO:CHANGE_CONSUMPTION","peru",4,121121,0,-0.00105347504015185,118.523999109938,1292.59236338688,1174.06836427695,-8.97285943651705e-07,0,91.9155334968626,82.7643642716795,898.881660179954,1.14201821424594,0,-8.24745162099822e-05,-7.42633006962474e-05,-0.000806553878685781,-1.0247168910371e-06,0,-8.91586276688058e-05,-0.000171633143878788,982.788042665879,0,-1.44538877401736e-05,-0.000156979815193092,-1.99440945522887e-07
"1904","PFLO:CHANGE_CONSUMPTION","peru",5,121121,0,-0.000150731472132293,125.214540686371,1365.55769541722,1240.34315473085,-1.21524008543427e-07,0,99.2740518116594,86.1463514784976,948.990413356838,1.16523413956224,0,-1.20641807205007e-05,-1.0468849953058e-05,-0.000115325119100407,-1.41603923531255e-07,0,-1.27317184347963e-05,-2.4795899155297e-05,1036.3019989749,0,-2.06124879231207e-06,-2.27067694670246e-05,-2.78808959603237e-08
"1905","PFLO:CHANGE_CONSUMPTION","peru",6,121121,0,1.00275343584144e-06,124.535329460418,1358.15039182988,1233.61506236946,8.12857646140771e-10,0,92.7192729066637,89.0626109661915,945.884634223327,1.19733227182421,0,7.53675699267944e-08,7.23952243091296e-08,7.68869557295498e-07,9.7326069212341e-10,0,8.51478236178977e-08,1.60515393544692e-07,1036.14457746134,0,1.37972251752574e-08,1.4653268241989e-07,1.85485949544328e-10
"1906","PFLO:CHANGE_CONSUMPTION","peru",7,121121,0,-9.25322002842677e-06,127.012655820003,1385.16747831079,1258.15482249079,-7.35459568489993e-09,0,93.7035930075349,91.9751890700201,964.321590181707,1.24332685267146,0,-6.89152040792836e-07,-6.76440328652225e-07,-7.09219540600622e-06,-9.14416630557773e-09,0,-7.8628808666991e-07,-1.47544012746275e-06,1057.5401061044,0,-1.28320319864525e-07,-1.34538516479896e-06,-1.73464279926074e-09
"1907","PFLO:CHANGE_CONSUMPTION","peru",8,121121,0,3.70281583172982e-06,129.971032022878,1417.43077111712,1287.45973909424,2.87606339778426e-09,0,99.0420764479354,94.9021222236181,983.126031864997,1.28078786714929,0,2.84851290912458e-07,2.72944520099396e-07,2.8275327956558e-06,3.68362710503424e-09,0,3.13803597957132e-07,5.98654888869589e-07,1079.30894195576,0,5.26388851465633e-08,5.45305595527126e-07,7.10408195900226e-10
"1908","PFLO:CHANGE_CONSUMPTION","peru",9,121121,0,-1.41855416302406e-05,132.634804916865,1446.48119572666,1313.8463908098,-1.0796955967963e-08,0,101.059113194734,97.8422180830303,1002.28331035363,1.31846150087046,0,-1.09113079532494e-06,-1.05639812045032e-06,-1.08216087693124e-05,-1.42353707703528e-08,0,-1.20216857438258e-06,-2.29329936970752e-06,1101.44398993753,0,-2.0371575777841e-07,-2.08683846378127e-06,-2.74514814784304e-09
"1909","PFLO:CHANGE_CONSUMPTION","uruguay",0,121121,0,1.04805493421623e-05,10.4535444317975,92.860525820278,82.4069813884805,1.27180357362626e-07,0,0.0378482089507245,5.14903490376552,63.1022369458009,0.093470030676239,0,4.81354873988849e-09,6.54856099133535e-07,8.02536504514808e-06,1.18875519040997e-08,0,1.78362709723665e-06,1.78844064597654e-06,68.3447418802427,0,1.34739601849433e-07,1.65125512660012e-06,2.44591752698366e-09
"1910","PFLO:CHANGE_CONSUMPTION","uruguay",1,121121,0,-8.21043927290432e-06,10.3521258233858,91.7964962552842,81.4443704318983,-1.00810396462818e-07,0,0.0314446157713922,4.89395799649341,64.4914664272537,0.0937148746772635,0,-3.16994418253504e-09,-4.93361845898881e-07,-6.50141029899999e-06,-9.44743367067828e-09,0,-1.20304975015224e-06,-1.20621969433477e-06,69.4791392984244,0,-8.49634664192128e-08,-1.11962925428535e-06,-1.62697363020433e-09
