,x,,
300,yield_agrc_cereals_tonne,,
301,yield_agrc_fibers_tonne,,
302,yield_agrc_fruits_tonne,,
303,yield_agrc_herbs_and_other_perennial_crops_tonne,,
304,yield_agrc_nuts_tonne,,
305,yield_agrc_other_annual_tonne,,
306,yield_agrc_other_woody_perennial_tonne,,
307,yield_agrc_pulses_tonne,,
308,yield_agrc_rice_tonne,,
309,yield_agrc_sugar_cane_tonne,,
310,yield_agrc_tubers_tonne,,
311,yield_agrc_vegetables_and_vines_tonne,,
312,lvst_total_tlu,,
313,qty_waso_total_food_produced_tonne,, 
314,factor_waso_waste_per_capita_scalar_food,,
315,qty_agrc_food_produced_lost_sent_to_msw_tonne,,
316,factor_waso_waste_per_capita_scalar_food,,















































